title,description,url,publishedAt,sourceName,sourceUrl
Geneva talks end without resolution to Israel and Iran's weeklong war,Israel and Iran have struck at one another again a week into their war as President Donald Trump weighs U.S. involvement.,https://apnews.com/article/israel-iran-war-nuclear-gaza-news-06-20-2025-8adbedb3427a76be7dbde4a18a05f75f,2025-06-20T11:18:49Z,The Associated Press,https://apnews.com
Trump weighs Iran action and appeals court rules on California National Guard: Morning Rundown,Donald Trump said he would decide whether the U.S. should take action in Iran within two weeks.,https://www.nbcnews.com/news/us-news/trump-iran-action-appeals-court-national-guard-morning-rundown-rcna214047,2025-06-20T11:10:00Z,NBC News,https://www.nbcnews.com
Trump tax cuts: The impact on Medicaid and the welfare state’s future,"Donald Trump’s tax cuts would throw millions off Medicaid and food stamps, while making it harder to grow America’s safety net in the future.",https://www.vox.com/politics/417108/trumps-tax-cuts-medicaid-food-stamps-democrats-welfare-state,2025-06-20T11:00:00Z,Vox.com,https://www.vox.com
Appeals court lets Trump keep control of National Guard troops deployed to Los Angeles,An appeals court allowed President Donald Trump to keep control of National Guard troops he deployed to Los Angeles following protests over immigration raids.,https://www.cnbc.com/2025/06/20/appeals-court-lets-trump-keep-control-of-national-guard-troops-deployed-to-los-angeles.html,2025-06-20T09:50:16Z,CNBC,https://www.cnbc.com
Markets flatline amid Trump’s delay on Iran and potential Fed cuts in July,The White House said Thursday evening that President Donald Trump would decide on whether he’d strike Iran within two weeks.,https://fortune.com/2025/06/20/stock-markets-donald-trump-iran-two-weeks-fed-july-rate-cuts/,2025-06-20T04:00:00Z,Fortune,https://fortune.com
Focus groups: Latino Trump voters diverge on deportations but largely still back the president,"Some divides are emerging among swing-state Latinos who voted for President Donald Trump when it comes to his approach to mass deportations, according to new focus group conversations with some of these voters, who nevertheless remain broadly supportive of the president.",https://www.nbcnews.com/politics/politics-news/focus-groups-latino-trump-voters-diverge-deportations-largely-still-ba-rcna213461,2025-06-19T20:00:00Z,NBC News,https://www.nbcnews.com
TikTok Ban Update: When Donald Trump's Latest Extension Will Expire,"President Donald Trump has once again extended the deadline for TikTok's ban, this time to September 17, 2025. It gives ByteDance more time to avoid a U.S. shutdown.",https://www.newsweek.com/tiktok-ban-update-extended-donald-trump-executive-order-2088103,2025-06-19T17:30:00Z,Newsweek,https://www.newsweek.com
E. Jean Carroll says Trump could've won his case against her if he did one thing,"E. Jean Carroll beat Donald Trump in court, but she thinks it didn't have to go that way.Carroll appeared on a live video with former federal prosecutor Joyce Vance, who asked Carroll if she thinks things could have gone differently if Trump had testified in the defamation trial.Carroll starts by ac...",https://www.rawstory.com/trump-e-jean-carroll-says-win/,2025-06-19T11:14:51Z,Raw Story,https://www.rawstory.com
"In Virginia and New Jersey governor's races, Democrats reprise a 2018 roadmap for opposing Trump 2.0",Democrats have spent the early months of Donald Trump's second presidency trying to find the right messages and messengers to counter an aggressive administration.,https://www.clickondetroit.com/news/politics/2025/06/19/in-virginia-and-new-jersey-governors-races-democrats-reprise-a-2018-roadmap-for-opposing-trump-20/,2025-06-19T04:02:32Z,WDIV ClickOnDetroit,https://www.clickondetroit.com
Appeals court denies DOJ request to replace Trump in defamation case,An appeals court on Wednesday ruled against the Justice Department's attempt to replace President Donald Trump as the defendant in a multimillion-dollar defamation case.,https://www.upi.com/Top_News/US/2025/06/19/appeals-court-Trump-Carroll-defamation-case/2101750303804/,2025-06-19T04:02:00Z,UPI News,https://www.upi.com
